t,a,o2,r,d,_
390,[ 0.43282178  0.92275363 -0.31958896  0.4067764   0.4325374   0.29585105],"[ 1.14404568e+00 -9.38223467e-01 -1.01109500e+00 -6.44026385e-02
  8.95553484e-02 -1.08436637e+00 -6.50553559e-03  1.35780448e-01
 -6.09299243e-01 -3.47670921e+00 -1.00000000e+01 -1.00000000e+01
  5.93633375e-01  2.68979439e+00 -1.00000000e+01  2.49993092e+00
  1.00000000e+01]",0.07117608132678822,False,"{'x_position': -0.07611817440730369, 'x_velocity': -0.9272428891388719}"
391,[ 0.992143   -0.44967613 -0.12488426  0.9705449  -0.7989769  -0.33016017],"[ 1.12144541 -1.03526659 -1.09683306 -0.10030528  0.11447031 -1.18058142
 -0.03283595  0.24386958 -0.97448821 -2.15931269 -7.52823613 -2.84635175
 -9.41797208  3.43295171 -3.81075359 -8.98478754 10.        ]",0.22321085220647552,True,"{'x_position': -0.08230935575371438, 'x_velocity': -0.773897668301337}"
392,[-0.0437399  -0.36169285  0.6529956   0.4125831   0.8600334  -0.18488485],"[ 1.24595938e+00  8.11740760e-04  1.40783354e-03 -8.88761626e-03
  4.47725944e-02 -4.71063779e-03  7.32632847e-03 -7.88447502e-03
 -7.70043846e-02 -1.71640159e-01 -6.59818396e-01  2.32983029e-01
 -2.55430857e+00  1.00000000e+01 -1.10263466e+00  1.06848683e+00
 -2.57136779e+00]",0.9903471148079831,False,"{'x_position': 0.004642587440363524, 'x_velocity': -0.008149682396034474}"
393,[ 0.17858782 -0.1571977   0.7532993  -0.37272257  0.86435556  0.3525853 ],"[ 1.24338007e+00 -9.86716146e-03  2.68417055e-03 -4.07878672e-02
  1.78958561e-01 -1.89409385e-02  1.37569290e-02 -2.98578514e-03
 -2.48976335e-01 -4.74752844e-01 -1.98457228e+00  9.77808816e-02
 -5.29841687e+00  1.00000000e+01 -2.44584807e+00  5.82217767e-01
  3.76034535e+00]",0.8334060882828243,False,"{'x_position': 0.0033229114554258624, 'x_velocity': -0.16495949811720775}"
394,[ 0.7433147   0.24500014 -0.6557787   0.6604489   0.06022055  0.5644012 ],"[ 1.23937900e+00 -1.84479267e-02  4.78298145e-03 -6.69214362e-02
  3.17260680e-01 -2.32173162e-02  3.33925510e-03  6.30151097e-02
 -8.16193821e-02 -5.23741157e-01 -2.02989099e-01  3.83146059e-01
 -1.32263208e+00  1.00000000e+01  1.30854217e+00 -3.11466196e+00
  1.00000000e+01]",0.8342086189631186,False,"{'x_position': 0.0020109880514026612, 'x_velocity': -0.16399042550290013}"
395,[ 0.35919765 -0.52517843  0.40764946 -0.10765626 -0.0219769  -0.10728244],"[ 1.23463097e+00 -2.61070741e-02  7.48351783e-03 -9.03043135e-02
  4.38921813e-01 -2.04554688e-02 -1.81575162e-02  1.57222382e-01
 -3.14596841e-01 -6.63936383e-01 -1.70325146e+00  2.94372475e-01
 -4.47412386e+00  1.00000000e+01 -6.02905315e-01 -2.27905640e+00
  1.00000000e+01]",0.8009321288674728,False,"{'x_position': 0.0004232018491385557, 'x_velocity': -0.19847327528301317}"
396,[ 0.7521662  -0.88500243 -0.41946492 -0.6059379   0.8721346  -0.20544685],"[ 1.22931280e+00 -4.79963780e-02  9.32764696e-03 -1.47609894e-01
  5.63334668e-01 -5.19851918e-02  6.31459739e-04  2.18110285e-01
 -4.25081117e-01 -6.82746653e-01 -3.78338247e+00  1.87154689e-01
 -9.95481115e+00  1.00000000e+01 -6.99953654e+00  6.36467844e+00
  4.51660586e+00]",0.6391351626701797,False,"{'x_position': -0.0024421574718297193, 'x_velocity': -0.35816991512103435}"
397,[ 0.57864887  0.5231841   0.55243224 -0.552572    0.7995225   0.19637688],"[ 1.22282670e+00 -7.78723133e-02  9.81129014e-03 -2.20185205e-01
  6.94148322e-01 -1.00521511e-01  3.60838104e-02  2.72380725e-01
 -4.62511712e-01 -9.29496700e-01 -3.64723619e+00 -4.40287609e-02
 -8.10291760e+00  1.00000000e+01 -5.25329360e+00  2.84125088e+00
  8.92939012e+00]",0.5464863699604978,False,"{'x_position': -0.006055091525306442, 'x_velocity': -0.45161675668459034}"
398,[-0.9593914  -0.41752955 -0.3373425  -0.39895976 -0.66873175 -0.28417414],"[  1.21511281  -0.13480133  -0.02658169  -0.27708458   0.82697661
  -0.16976221   0.04899239   0.32938992  -1.15000273  -1.02006623
 -10.          -9.12997876  -6.19305473  10.         -10.
   0.63233071   5.13153612]",0.18651307402973755,False,"{'x_position': -0.01254782142289093, 'x_velocity': -0.8115912371980609}"
399,[ 0.6980104  -0.18025811  0.13391374 -0.8632369   0.50766367 -0.3020216 ],"[  1.20633317  -0.22011987  -0.09332666  -0.34178603   0.88770932
  -0.26635075   0.05052992   0.35163869  -1.31281284  -1.19206775
 -10.          -7.60628752  -9.9052551    4.21900004 -10.
  -0.14844489   0.48037708]",-0.23684815690880134,False,"{'x_position': -0.022429552583846765, 'x_velocity': -1.2352163951194794}"
400,[ 0.6566377   0.91375834 -0.08066542 -0.4104004   0.4906785   0.19998054],"[  1.19676679  -0.30328557  -0.16008015  -0.40153914   0.90384215
  -0.3588377    0.04751372   0.36569712  -1.07941713  -1.13527009
 -10.          -9.26889031  -4.85093454   0.27751816 -10.
  -0.53191601   2.96409644]",-0.19624129749979455,False,"{'x_position': -0.031985708400055754, 'x_velocity': -1.1945194770261236}"
401,[-0.21512751 -0.6533588   0.352447    0.97460437 -0.41195896  0.6794408 ],"[ 1.18911062e+00 -3.63887464e-01 -2.00246934e-01 -4.60422807e-01
  8.98496414e-01 -4.04798872e-01  5.17887976e-03  4.34945802e-01
 -1.07740920e+00 -7.76421006e-01 -5.01132300e+00 -8.25261564e-01
 -9.78776801e+00 -1.37711274e+00 -2.61478571e-01 -1.00000000e+01
  1.00000000e+01]",-0.0774395021934823,False,"{'x_position': -0.04058779577723801, 'x_velocity': -1.0752609221477822}"
402,[ 0.6449064   0.05991966  0.06009666 -0.95303833  0.7224835  -0.45560065],"[ 1.18256757 -0.41752111 -0.22726402 -0.53149763  0.8841139  -0.44420063
 -0.03325533  0.50576034 -0.89776673 -0.86792515 -8.39457877 -5.93455938
 -7.95175643 -2.07775931 -9.59501855  0.47504047  3.60443151]",0.006744876141117899,False,"{'x_position': -0.04851734922691034, 'x_velocity': -0.9911941812090408}"
403,[-0.62068665 -0.80796474 -0.22655405 -0.9826406   0.31893468 -0.06228265],"[ 1.17270221e+00 -5.21355125e-01 -3.19213506e-01 -5.94628583e-01
  8.45491678e-01 -5.78650275e-01  1.85154610e-03  5.16390624e-01
 -1.26453624e+00 -1.66322782e+00 -1.00000000e+01 -1.00000000e+01
 -7.94246460e+00 -7.61432740e+00 -1.00000000e+01  7.58998934e+00
 -8.06317642e-01]",-0.08846082872201033,False,"{'x_position': -0.057207751322232075, 'x_velocity': -1.0863002619152171}"
404,[-0.0266738  -0.7523968  -0.30358893  0.76007104  0.4484693   0.8518601 ],"[  1.1598641   -0.64260617  -0.42290601  -0.6784941    0.75488984
  -0.73572619   0.04143518   0.55005909  -1.06845391  -1.52291734
 -10.          -9.41364279 -10.         -10.         -10.
   2.6555568    9.16229967]",-0.16714771044538151,False,"{'x_position': -0.06652762519024337, 'x_velocity': -1.1649842335014118}"
405,[-0.7442901  -0.8156832   0.31637496 -0.45242563  0.7522925  -0.30937827],"[  1.1444491   -0.76768404  -0.52066384  -0.77967966   0.6439568
  -0.88251236   0.05481654   0.61370364  -1.37064131  -2.36731448
 -10.         -10.         -10.         -10.         -10.
   0.873321     6.58448628]",-0.24271730049044005,False,"{'x_position': -0.07645187761317934, 'x_velocity': -1.2405315528669965}"
406,[ 0.02917864  0.4752382   0.88777226  0.39957586 -0.630472   -0.8444538 ],"[  1.12571587  -0.90589467  -0.63946755  -0.85976448   0.59243324
  -1.03178741   0.05149704   0.63378123  -1.07556811  -2.30302604
 -10.         -10.          -7.77922199  -0.01657849 -10.
  -1.67558621  -1.44186827]",-0.22027149266047313,False,"{'x_position': -0.08619576875269006, 'x_velocity': -1.2179863924388392}"
407,[-0.13579856 -0.9259151  -0.2545537   0.9908293   0.20180154  0.4784736 ],"[  1.10873811  -1.01911236  -0.727081    -0.94116922   0.56480637
  -1.13531649   0.01806719   0.65092207  -1.02800794  -1.928504
 -10.          -7.35378629 -10.          -6.89478011  -9.22026324
  -6.61887378   5.72641195]",-0.04450935167701826,True,"{'x_position': -0.09453430787770593, 'x_velocity': -1.0423173906269847}"
408,[ 0.13024546  0.18335128  0.6065629   0.405701   -0.41890666  0.78064984],"[ 1.24926574e+00 -1.62766885e-03 -1.73000260e-03 -5.39016208e-03
  3.71896419e-02  5.41166452e-03 -1.53847984e-02  6.17955175e-02
 -1.56691734e-01 -3.48763403e-01 -9.99096337e-01 -9.88082747e-01
 -3.04914886e-01  9.82576930e+00  7.77436373e-01 -4.34156189e+00
  1.00000000e+01]",0.9287437804924085,False,"{'x_position': 0.0034803008269477815, 'x_velocity': -0.06988822901381707}"
409,[ 0.4027861  -0.42617336 -0.1861668   0.06298804  0.9983235   0.03142776],"[ 1.24628942e+00 -2.57523486e-03  4.58791939e-03 -2.17714337e-02
  1.09703497e-01  7.66242874e-03 -2.37422584e-02  1.62366105e-01
  7.17559857e-02 -3.95538435e-01  1.08682997e-01  1.50417195e+00
 -3.21648418e+00  8.14172698e+00 -1.10132023e+00  2.50369040e+00
  1.00000000e+01]",0.9716483098737687,False,"{'x_position': 0.0032645282929527016, 'x_velocity': -0.02697156674938498}"
410,[ 0.55686957 -0.23548321  0.39562315  0.2455979   0.11370333  0.9097166 ],"[ 1.24179675e+00 -5.55331837e-03  1.38393304e-02 -5.12155136e-02
  2.02148766e-01 -1.78705541e-03 -9.71707467e-03  3.08877764e-01
 -4.14009203e-02 -7.23954651e-01 -8.14191177e-01  8.62956317e-01
 -4.12724330e+00  1.00000000e+01 -1.22628277e+00  1.17478328e+00
  1.00000000e+01]",1.0128006518930583,False,"{'x_position': 0.0033783167468895868, 'x_velocity': 0.01422355674211064}"
411,[-0.8112143  -0.52999914 -0.06260543 -0.02713387 -0.83481723  0.26561707],"[ 1.23565743e+00 -2.61113228e-02  6.65828003e-03 -8.63342364e-02
  3.17225887e-01 -1.61238798e-02 -1.97112525e-02  5.31589588e-01
 -6.14413492e-01 -8.14026096e-01 -4.32168579e+00 -2.65004579e+00
 -4.67510985e+00  1.00000000e+01 -2.35906132e+00 -3.63732969e+00
  1.00000000e+01]",0.6701191592108836,False,"{'x_position': 0.0007529587861024739, 'x_velocity': -0.32816974509838914}"
412,[-0.5485366   0.06153501 -0.82294154 -0.22400537 -0.64694405  0.42274436],"[ 1.22915057 -0.07712355 -0.04242638 -0.10472879  0.37510489 -0.04828615
 -0.05688674  0.79852347 -0.97480855 -0.8092495  -8.43678826 -9.61932702
  0.01664652  0.59604985 -5.78317523 -5.51728921 10.        ]",0.2024897790489113,False,"{'x_position': -0.005614088263946422, 'x_velocity': -0.7958808812561119}"
413,[-0.2366798  -0.09221979 -0.55391604  0.08620387  0.70675474  0.6559537 ],"[  1.22327432  -0.1521102   -0.1342505   -0.09497301   0.34056049
  -0.12028872  -0.07023568   0.98654478  -0.83791784  -0.70410295
 -10.         -10.           2.41478297  -9.08450465 -10.
   1.83599351  10.        ]",0.09257924652225022,False,"{'x_position': -0.01286298586411034, 'x_velocity': -0.9061122000204896}"
414,[-0.16219546 -0.15700348  0.02833598 -0.32182604  0.99415654  0.32239085],"[  1.21641754  -0.25027294  -0.26380678  -0.06860208   0.26666729
  -0.25749093  -0.01183688   1.0509963   -0.72207946  -1.07823196
 -10.         -10.           4.11601637  -9.27311814 -10.
  10.           3.15372609]",0.21391549896933684,False,"{'x_position': -0.019141680948702996, 'x_velocity': -0.784836885574082}"
415,[-0.38887423 -0.54280484  0.73504984  0.64133954 -0.92057955 -0.9209038 ],"[  1.20716752  -0.3486835   -0.38309549  -0.06334743   0.23854833
  -0.39635337   0.04230383   1.0189681   -0.96763414  -1.18320238
 -10.         -10.          -2.77451686   2.17465733 -10.
   1.0833761  -10.        ]",0.1553245103288149,False,"{'x_position': -0.025874340820814908, 'x_velocity': -0.841582484013989}"
416,[-0.64397633  0.1145842   0.65162766 -0.9680301  -0.49105817  0.65033907],"[  1.19384366  -0.46538778  -0.51503025  -0.07076576   0.28791526
  -0.53396014   0.04578966   0.94744107  -1.43597114  -2.21513804
 -10.         -10.           0.87741503  10.         -10.
  -0.07574899  -7.20207057]",-0.22195558208177965,False,"{'x_position': -0.035630356555960356, 'x_velocity': -1.219501966893181}"
417,[ 0.6510293 -0.876704   0.505485  -0.7266153  0.9221134  0.6263604],"[  1.17432471  -0.60807092  -0.66092282  -0.1064304    0.4059308
  -0.69626909   0.04379562   0.90037508  -1.57368631  -2.64973837
 -10.         -10.          -9.71384697  10.         -10.
  -0.3751169   -4.73487547]",-0.5086120977188191,False,"{'x_position': -0.04767350490173679, 'x_velocity': -1.505393543222054}"
418,[ 0.24580772  0.52784514 -0.28210056 -0.9945669   0.01710598 -0.8230285 ],"[  1.15047653  -0.76061432  -0.80316849  -0.16683174   0.53094269
  -0.86844648   0.03995612   0.80808089  -1.54239942  -3.29377035
 -10.         -10.          -5.63166172  10.         -10.
  -0.48790118 -10.        ]",-0.549413043759586,False,"{'x_position': -0.060052125616101806, 'x_velocity': -1.5473275892956273}"
419,[ 0.38202628  0.01390808 -0.435959    0.07734675 -0.05573314 -0.0584549 ],"[  1.12466061  -0.92023307  -0.95396664  -0.22002536   0.59430042
  -1.04137341   0.03488372   0.68799834  -1.32962856  -3.15536169
 -10.         -10.          -7.63855607   3.85666133 -10.
  -0.78802232 -10.        ]",-0.4374374635261516,False,"{'x_position': -0.07154883569652057, 'x_velocity': -1.4370887600523452}"
420,[-0.86831397 -0.704994   -0.94228905 -0.47531435  0.7311737  -0.9908482 ],"[  1.09583343  -1.09737349  -1.11501872  -0.28803034   0.5570843
  -1.22440688   0.03041642   0.52894671  -1.40064372  -4.08315542
 -10.         -10.          -9.34065886 -10.         -10.
  -0.4032792  -10.        ]",-0.40669279512258716,True,"{'x_position': -0.0827713283519959, 'x_velocity': -1.4028115819344158}"
421,[-0.8221897  -0.87249196  0.28477526  0.6605721  -0.8318878  -0.27807444],"[ 1.24766607e+00 -5.60095297e-03 -5.36358659e-03 -1.77189807e-02
  2.48024285e-02  4.42947633e-03 -2.32598242e-02 -8.50829801e-03
 -6.24133933e-01 -7.87530463e-02 -2.48497412e+00 -4.19418342e-01
 -4.68736344e+00  5.88959440e+00  1.56799528e-01 -5.41244363e+00
 -1.64609068e+00]",0.6843503017427758,False,"{'x_position': -0.00046892121968557764, 'x_velocity': -0.3129256451127692}"
422,[ 0.17166746 -0.16959043 -0.96540344 -0.5368435   0.5396515   0.5939711 ],"[ 1.24690607e+00 -3.69375237e-02 -2.70679451e-02 -4.47006824e-02
  1.43840222e-02 -1.85786743e-02 -4.61241320e-02  3.07576131e-03
 -6.32435262e-01 -1.14188732e-01 -5.33597374e+00 -4.97032370e+00
 -2.07642652e+00 -8.46311259e+00 -5.89461479e+00 -2.97630527e-01
  4.55735479e+00]",0.36980395207397715,False,"{'x_position': -0.0054951099167381695, 'x_velocity': -0.628273587131574}"
423,[ 0.92576885 -0.07634961 -0.23795795 -0.7051386  -0.6969606  -0.3695278 ],"[  1.24606731  -0.06985369  -0.04567755  -0.07752071  -0.06535179
  -0.04759291  -0.06111622   0.01984202  -0.73252651  -0.09417214
  -2.90667979   0.29294915  -6.08074397 -10.          -1.37697688
  -3.4506339   -0.34292653]",0.3158172316812691,False,"{'x_position': -0.010952259849390312, 'x_velocity': -0.6821437415815178}"
424,[0.5972612  0.62138695 0.05631165 0.3762339  0.40685284 0.17361823],"[ 1.24497664 -0.07371465 -0.02351224 -0.12127238 -0.14999601 -0.03699842
 -0.088391    0.02554505 -0.20299086 -0.16848765  1.92596282  5.23023482
 -5.1031813  -7.14036963  3.99882739 -3.35137147  1.71958317]",0.531495111943255,False,"{'x_position': -0.014691633048845493, 'x_velocity': -0.46742164993189755}"
425,[-0.03788709  0.7825326   0.5387878   0.38266093  0.7566264  -0.4332066 ],"[ 1.24344951e+00 -5.80206943e-02  6.28191883e-03 -1.42520928e-01
 -1.77497421e-01 -1.77005855e-02 -9.00254610e-02  7.15573864e-03
  2.59343604e-01 -2.12183676e-01  2.00502034e+00  2.21923543e+00
 -1.25585302e-01 -9.94404393e-02  8.41299595e-01  2.93366644e+00
 -6.30627760e+00]",1.0262633606352913,False,"{'x_position': -0.014467040836996195, 'x_velocity': 0.02807402648116221}"
426,[-0.3122109   0.7491774  -0.74331725  0.68580866 -0.69254315  0.154752  ],"[ 1.24228687 -0.03757065  0.01657033 -0.12110657 -0.1798755   0.00762819
 -0.09555039 -0.02919417  0.28292658 -0.08557354  2.31387818 -0.70947626
  5.77784256 -0.75589775  4.14888011 -3.50321641 -2.93648832]",1.2865335062979122,False,"{'x_position': -0.012157291501517682, 'x_velocity': 0.2887186669348141}"
427,[-0.92068636 -0.98793554  0.16955441  0.5511542   0.5161079   0.54918313],"[ 1.2405213  -0.02785438  0.00728177 -0.09058631 -0.16458564  0.02904559
 -0.11932578 -0.0201855   0.03977521 -0.35016601  0.27305082 -1.39505113
  1.78884406  4.56439519  1.45399795 -2.56604885  5.18349451]",1.1548485642735882,False,"{'x_position': -0.010896709633294553, 'x_velocity': 0.1575727335278911}"
428,[-0.39683586 -0.8938508   0.5561131   0.23476987 -0.6855576  -0.57235795],"[ 1.23717353e+00 -3.59086954e-02 -2.78272996e-03 -1.02531076e-01
 -8.53912488e-02  3.57803145e-02 -1.50210429e-01 -6.98010459e-03
 -5.51004207e-01 -4.91813420e-01 -2.21459694e+00 -1.03470074e+00
 -4.74095917e+00  1.00000000e+01  3.53937838e-01 -5.23439905e+00
 -1.88645882e+00]",0.74061083831978,False,"{'x_position': -0.01295487565157457, 'x_velocity': -0.25727075228500207}"
429,[-0.01082502  0.24383356 -0.08084364  0.16671608  0.02124951 -0.09141165],"[ 1.2330366  -0.05479603 -0.01701074 -0.13050674  0.02495737  0.03558996
 -0.18908027 -0.02916368 -0.47816491 -0.54094993 -2.45248149 -2.44127535
 -2.29461263 10.         -0.31227736 -4.52791403 -3.6494977 ]",0.48418376139955094,False,"{'x_position': -0.01708058388388547, 'x_velocity': -0.5157135290388627}"
430,[-0.16698317  0.21819039  0.5872963   0.5597303   0.98377776 -0.08375075],"[ 1.22830407 -0.07036727 -0.03641872 -0.14242529  0.15584453  0.02740697
 -0.20711706 -0.05015834 -0.0985934  -0.6319797  -1.43281279 -2.40980985
 -0.59072067 10.         -1.68086754 -0.27139383 -0.66311335]",0.7107609228732684,False,"{'x_position': -0.01938082819550229, 'x_velocity': -0.2875305389521024}"
431,[ 0.493003   -0.8710079   0.0788393  -0.9867238  -0.8376894   0.33425143],"[ 1.22217962 -0.08653559 -0.04354282 -0.17913966  0.3283048   0.01689395
 -0.22480493 -0.02669668 -0.64589399 -0.9061474  -2.64532734  0.56923988
 -8.57371365 10.         -1.00272986 -4.14832628  6.31933505]",0.6252867380856686,False,"{'x_position': -0.022356174339797655, 'x_velocity': -0.3719182680369205}"
432,[ 0.4915665   0.6116889  -0.9631154   0.97342604  0.49399954 -0.73170555],"[ 1.21639169 -0.09764208 -0.03584602 -0.2308856   0.44572232  0.01190715
 -0.24179052  0.01119548 -0.2081928  -0.53507237 -0.19140506  1.31070611
 -4.49733651  6.65067106 -0.31710247 -0.13290093  3.19798983]",0.5724863831153371,False,"{'x_position': -0.02575012024234322, 'x_velocity': -0.4242432378181956}"
433,[0.7786456  0.1953168  0.26395643 0.39802688 0.89391416 0.7537518 ],"[ 1.21127712 -0.08914518 -0.01203451 -0.27188743  0.51617254  0.01040149
 -0.22414333  0.07842282  0.23333054 -0.74798729  2.30458405  4.62012761
 -5.72119608 10.         -0.08571752  4.6528387  10.        ]",1.01045028916081,False,"{'x_position': -0.025648599845865823, 'x_velocity': 0.012690049559674604}"
434,[-0.31235468 -0.6603801   0.56097984  0.4587432  -0.31753853 -0.43131852],"[ 1.20455283e+00 -7.87462695e-02  2.04700117e-02 -3.26159177e-01
  6.33325599e-01  5.81502337e-03 -1.94739769e-01  1.64157402e-01
 -1.56895083e-01 -9.18504734e-01 -3.86227008e-02  2.79320661e+00
 -7.16253155e+00  1.00000000e+01 -1.34742997e+00  2.46923572e+00
  8.00818126e+00]",1.0445474088011255,False,"{'x_position': -0.025281455156450472, 'x_velocity': 0.045893086176918875}"
435,[ 0.50093275  0.07615928  0.39274564  0.43178675  0.5373674  -0.76170886],"[ 1.19889317e+00 -7.99355612e-02  3.52207951e-02 -3.69054348e-01
  7.91433327e-01 -9.70436785e-03 -1.65879579e-01  1.77354263e-01
 -1.19823791e-02 -4.91131589e-01 -1.45184872e-01  1.07284837e+00
 -3.65842571e+00  1.00000000e+01 -2.45243764e+00  4.87810877e+00
 -4.70671464e+00]",0.9098916966604951,False,"{'x_position': -0.02599059048689881, 'x_velocity': -0.0886419163060423}"
436,[-0.07938043 -0.7126712  -0.5487719  -0.34635285  0.61132765 -0.6455409 ],"[  1.19667385  -0.09191409   0.03442361  -0.41025464   0.89956311
  -0.0527281   -0.10292681   0.09458829  -0.16932695  -0.10136164
  -2.87727272  -1.33804267  -6.61467865   7.46687806  -8.44561891
  10.         -10.        ]",0.9030058755142053,False,"{'x_position': -0.026752737427716198, 'x_velocity': -0.09526836760217344}"
437,[ 0.0885135   0.95785326 -0.41592032 -0.8086392  -0.40443653 -0.58755004],"[ 1.19658211e+00 -1.36001050e-01 -1.75109037e-02 -4.29253684e-01
  9.31278733e-01 -1.53363498e-01 -3.71370046e-03  8.13923081e-03
 -2.66795867e-01  1.87105436e-02 -8.09785752e+00 -1.00000000e+01
  1.73530522e+00  9.76966645e-01 -1.00000000e+01  1.00000000e+01
 -9.60877683e+00]",0.7786235588163741,False,"{'x_position': -0.028505661049394067, 'x_velocity': -0.2191154527097336}"
438,[-0.72282654  0.7204219   0.00282552  0.10721233 -0.7890434   0.8233932 ],"[ 1.19577491e+00 -2.12313650e-01 -1.34679485e-01 -3.87920903e-01
  9.27702749e-01 -2.82350985e-01  7.23763963e-02 -7.34052778e-03
 -5.53252602e-01 -2.39954709e-01 -1.00000000e+01 -1.00000000e+01
  8.87380248e+00 -1.53404341e+00 -1.00000000e+01  5.49622861e+00
  5.61101368e+00]",0.5729886489640261,False,"{'x_position': -0.03190292342178403, 'x_velocity': -0.4246577965487455}"
439,[ 0.26278776 -0.23458251 -0.26954958 -0.5117494   0.11451859  0.46271268],"[  1.19289121  -0.30207204  -0.27432083  -0.32882933   0.8946315
  -0.40255969   0.09763661   0.07053569  -0.77792322  -0.48397259
 -10.         -10.           5.93901252  -6.64045723 -10.
   1.28897436  10.        ]",0.3258409283988757,False,"{'x_position': -0.03729070920822752, 'x_velocity': -0.6734732233054357}"
440,[ 0.08651716 -0.8223562  -0.07766361 -0.48570818 -0.09421134 -0.55566967],"[  1.1883227   -0.39540309  -0.39870524  -0.30827715   0.83068737
  -0.51171888   0.09915365   0.15421211  -1.19246505  -0.66379217
 -10.         -10.          -0.77691621  -9.24639756 -10.
  -0.6609258    7.34851992]",0.00901715410428708,False,"{'x_position': -0.0452086252266597, 'x_velocity': -0.9897395023040229}"
441,[-0.6343977  -0.54078     0.8248406   0.27515903 -0.70529485  0.6853566 ],"[  1.18186497  -0.4933234   -0.50834576  -0.32363242   0.78136922
  -0.60271211   0.06139636   0.26274042  -1.52842189  -0.96070064
 -10.         -10.          -3.04861063  -2.39607118  -9.5653726
  -8.76835522  10.        ]",-0.36478926254009497,False,"{'x_position': -0.0561075942685393, 'x_velocity': -1.3623711302349497}"
442,[ 0.04674009 -0.77481216  0.4874815   0.80153716  0.1746685  -0.86264277],"[  1.17535672  -0.57206773  -0.57506657  -0.37664042   0.78651137
  -0.65139287  -0.01039701   0.37229469  -1.43426112  -0.66241643
  -7.1720257   -3.51201283 -10.           3.31821022  -2.52432606
  -9.55093426   7.80007854]",-0.47719716955210273,False,"{'x_position': -0.06790711338215827, 'x_velocity': -1.4749398892023713}"
443,[ 0.6363867  -0.7639174   0.1728073   0.35072055 -0.8394885   0.3291624 ],"[  1.17135275  -0.5986976   -0.54602248  -0.50148155   0.80452093
  -0.61238876  -0.13253983   0.46445241  -1.65546171  -0.39127673
   0.64211304  10.         -10.           1.37009465  10.
 -10.          10.        ]",-0.5520998849040445,False,"{'x_position': -0.08030827634917749, 'x_velocity': -1.5501453708774027}"
444,[-0.6633424  -0.6572226   0.36813208 -0.3323551   0.0706071   0.9408313 ],"[  1.16419995  -0.60931287  -0.47815987  -0.66987954   0.81128898
  -0.53547675  -0.29012603   0.62846786  -1.81297987  -1.38515987
  -3.36571581   5.98689074 -10.           0.42136425   6.67518452
 -10.          10.        ]",-0.7407266257565767,False,"{'x_position': -0.09421802459692932, 'x_velocity': -1.738718530968979}"
445,[ 0.9651631  -0.3266882   0.9462617   0.53812164 -0.27018374 -0.5785776 ],"[  1.15425941  -0.59645436  -0.37272533  -0.86180697   0.81383165
  -0.42261449  -0.46397948   0.80202724  -1.56052165  -1.16689751
   6.67242182  10.         -10.           0.22576115  10.
 -10.          10.        ]",-0.7038657904869908,False,"{'x_position': -0.10782790290141607, 'x_velocity': -1.7012347880608434}"
446,[-0.51249593 -0.36437595  0.95423824  0.09076494 -0.57866114 -0.7915861 ],"[  1.14206806  -0.54757917  -0.21769288  -1.06910812   0.81526145
  -0.25110956  -0.6789638    0.86937729  -1.60956738  -1.87951132
   5.48879542  10.         -10.           0.14446838  10.
 -10.           0.19972913]",-0.5894592618482729,False,"{'x_position': -0.12052537149083116, 'x_velocity': -1.5871835736768862}"
447,[ 0.56934255  0.4900477  -0.08435858 -0.04592132  0.7055457  -0.9312887 ],"[  1.12704334  -0.49759067  -0.07053594  -1.25788996   0.80561739
  -0.08550583  -0.88549228   0.80706797  -1.18142833  -1.85344395
   6.99743962  10.         -10.          -2.47860264  10.
 -10.         -10.        ]",-0.3885679156444131,False,"{'x_position': -0.13161840588578017, 'x_velocity': -1.3866292993686258}"
448,[ 0.687958    0.7624449  -0.8370333   0.5914485   0.28775674  0.09745024],"[  1.11210518  -0.43592094   0.08179881  -1.4281642    0.73265352
   0.07902632  -1.05925679   0.68425286  -1.03606641  -1.91925506
   4.35981828  10.         -10.         -10.          10.
 -10.         -10.        ]",-0.0018465785768927586,False,"{'x_position': -0.13961559975615556, 'x_velocity': -0.9996492337969245}"
449,[-0.09329269 -0.45433962 -0.49485713 -0.4611942  -0.1692857   0.7043448 ],"[  1.09488182  -0.43407425   0.15128506  -1.5701783    0.57786447
   0.15156522  -1.18344814   0.61031897  -1.42651962  -2.36122879
  -3.19915558   4.44387813 -10.         -10.           4.07997669
 -10.          -3.68162451]",-0.24633413826735318,False,"{'x_position': -0.14957669309506721, 'x_velocity': -1.2451366673639566}"
450,[ 0.90128493 -0.21902847 -0.41919124  0.25332814 -0.1719089   0.14430483],"[  1.07485765  -0.47522605   0.16764023  -1.69786749   0.36233569
   0.16366903  -1.28539751   0.58710943  -1.62293877  -2.64671382
  -6.70159646   0.1829679  -10.         -10.          -0.49230177
 -10.          -2.19380719]",-0.5376606751120157,False,"{'x_position': -0.16186877400816274, 'x_velocity': -1.5365101141369408}"
451,[-0.9366936  -0.5230685   0.22839613 -0.5757431   0.03997526 -0.47180244],"[  1.05210524  -0.56477864   0.11863795  -1.79898469   0.13618809
   0.11223734  -1.37218303   0.54213825  -2.07045047  -3.08039088
 -10.         -10.         -10.         -10.         -10.
  -9.38540845  -9.05317481]",-0.8622160564647923,False,"{'x_position': -0.17675243177354075, 'x_velocity': -1.8604572206722507}"
